account_id,account_type,is_mule,city,state,account_age_days,linked_devices,preferred_location_id
ACC00023,Mule/Suspicious,True,Delhi,Delhi,6,3,ATM-LUC-005
ACC00024,Mule/Suspicious,True,Patna,Bihar,7,6,ATM-MUM-009
ACC00025,Mule/Suspicious,True,Mumbai,Maharashtra,174,7,ATM-KAN-014
ACC00026,Mule/Suspicious,True,Bengaluru,Karnataka,24,8,ATM-DEL-013
ACC00027,Mule/Suspicious,True,Mumbai,Maharashtra,32,3,ATM-KAN-012
ACC00028,Mule/Suspicious,True,Mumbai,Maharashtra,188,7,ATM-KAN-014
ACC00029,Mule/Suspicious,True,Patna,Bihar,38,7,ATM-DEL-000
ACC00030,Mule/Suspicious,True,Mumbai,Maharashtra,55,6,ATM-DEL-011
ACC00031,Mule/Suspicious,True,Jaipur,Rajasthan,120,7,ATM-KAN-012
ACC00032,Mule/Suspicious,True,Patna,Bihar,34,3,ATM-KAN-012
ACC00033,Mule/Suspicious,True,Bengaluru,Karnataka,27,4,ATM-DEL-004
ACC00034,Mule/Suspicious,True,Mumbai,Maharashtra,53,8,ATM-KAN-012
ACC00035,Mule/Suspicious,True,Delhi,Delhi,76,8,ATM-PAT-006
ACC00036,Mule/Suspicious,True,Lucknow,Uttar Pradesh,11,8,ATM-DEL-013
ACC00037,Mule/Suspicious,True,Hyderabad,Telangana,31,5,ATM-PAT-003
ACC00038,Mule/Suspicious,True,Bengaluru,Karnataka,25,4,ATM-DEL-013
ACC00039,Mule/Suspicious,True,Hyderabad,Telangana,86,3,ATM-LUC-005
ACC00040,Mule/Suspicious,True,Kanpur,Uttar Pradesh,13,8,ATM-DEL-013
ACC00041,Mule/Suspicious,True,Bengaluru,Karnataka,31,7,ATM-PAT-003
ACC00042,Mule/Suspicious,True,Lucknow,Uttar Pradesh,26,4,ATM-DEL-010
ACC00043,Mule/Suspicious,True,Bengaluru,Karnataka,104,3,ATM-PAT-006
ACC00044,Mule/Suspicious,True,Jaipur,Rajasthan,61,6,ATM-DEL-004
ACC00045,Mule/Suspicious,True,Delhi,Delhi,47,3,ATM-KAN-012
ACC00046,Mule/Suspicious,True,Kanpur,Uttar Pradesh,64,6,ATM-LUC-005
ACC00047,Mule/Suspicious,True,Patna,Bihar,67,8,ATM-DEL-010
ACC00048,Mule/Suspicious,True,Jaipur,Rajasthan,100,6,ATM-DEL-000
ACC00049,Mule/Suspicious,True,Delhi,Delhi,135,6,ATM-KAN-014
ACC00050,Mule/Suspicious,True,Kanpur,Uttar Pradesh,56,8,ATM-DEL-002
ACC00051,Mule/Suspicious,True,Kanpur,Uttar Pradesh,28,4,ATM-DEL-000
ACC00052,Mule/Suspicious,True,Delhi,Delhi,51,7,ATM-MUM-009
ACC00053,Mule/Suspicious,True,Patna,Bihar,114,4,ATM-LUC-005
ACC00054,Mule/Suspicious,True,Jaipur,Rajasthan,6,6,ATM-PAT-006
ACC00055,Mule/Suspicious,True,Delhi,Delhi,7,8,ATM-PAT-006
ACC00056,Mule/Suspicious,True,Bengaluru,Karnataka,51,7,ATM-DEL-004
ACC00057,Mule/Suspicious,True,Lucknow,Uttar Pradesh,49,7,ATM-DEL-011
ACC00058,Mule/Suspicious,True,Patna,Bihar,24,6,ATM-DEL-000
ACC00059,Mule/Suspicious,True,Bengaluru,Karnataka,63,6,ATM-LUC-005
ACC00060,Mule/Suspicious,True,Patna,Bihar,115,6,ATM-BEN-001
ACC00061,Mule/Suspicious,True,Jaipur,Rajasthan,36,5,ATM-MUM-009
ACC00062,Mule/Suspicious,True,Jaipur,Rajasthan,65,6,ATM-DEL-010
ACC00063,Mule/Suspicious,True,Delhi,Delhi,13,4,ATM-DEL-011
ACC00064,Mule/Suspicious,True,Kanpur,Uttar Pradesh,48,8,ATM-PAT-008
ACC00065,Mule/Suspicious,True,Kanpur,Uttar Pradesh,7,5,ATM-DEL-010
ACC00066,Mule/Suspicious,True,Patna,Bihar,39,4,ATM-LUC-005
ACC00067,Mule/Suspicious,True,Patna,Bihar,6,7,ATM-DEL-011
ACC00068,Mule/Suspicious,True,Kanpur,Uttar Pradesh,10,3,ATM-PAT-008
ACC00069,Mule/Suspicious,True,Mumbai,Maharashtra,74,3,ATM-PAT-003
ACC00070,Mule/Suspicious,True,Patna,Bihar,16,3,ATM-DEL-010
ACC00071,Mule/Suspicious,True,Patna,Bihar,40,8,ATM-DEL-010
ACC00072,Mule/Suspicious,True,Mumbai,Maharashtra,10,3,ATM-MUM-009
ACC00073,Mule/Suspicious,True,Kanpur,Uttar Pradesh,69,7,ATM-PAT-006
ACC00074,Mule/Suspicious,True,Lucknow,Uttar Pradesh,66,7,ATM-DEL-004
ACC00075,Mule/Suspicious,True,Kanpur,Uttar Pradesh,85,7,ATM-PAT-003
ACC00076,Mule/Suspicious,True,Patna,Bihar,61,5,ATM-KAN-012
ACC00077,Mule/Suspicious,True,Jaipur,Rajasthan,22,5,ATM-KAN-007
ACC00078,Mule/Suspicious,True,Hyderabad,Telangana,90,3,ATM-KAN-007
ACC00079,Mule/Suspicious,True,Bengaluru,Karnataka,30,6,ATM-PAT-008
ACC00080,Mule/Suspicious,True,Hyderabad,Telangana,7,3,ATM-KAN-012
ACC00081,Mule/Suspicious,True,Mumbai,Maharashtra,27,8,ATM-DEL-010
ACC00082,Mule/Suspicious,True,Delhi,Delhi,77,6,ATM-DEL-004
ACC00083,Mule/Suspicious,True,Jaipur,Rajasthan,6,4,ATM-BEN-001
ACC00084,Mule/Suspicious,True,Bengaluru,Karnataka,45,6,ATM-DEL-010
ACC00085,Mule/Suspicious,True,Kanpur,Uttar Pradesh,16,8,ATM-PAT-003
ACC00086,Mule/Suspicious,True,Bengaluru,Karnataka,67,4,ATM-DEL-002
ACC00087,Mule/Suspicious,True,Lucknow,Uttar Pradesh,62,7,ATM-DEL-000
ACC00088,Mule/Suspicious,True,Bengaluru,Karnataka,135,6,ATM-KAN-007
ACC00089,Mule/Suspicious,True,Delhi,Delhi,33,4,ATM-KAN-007
ACC00090,Mule/Suspicious,True,Patna,Bihar,167,3,ATM-KAN-014
ACC00091,Mule/Suspicious,True,Bengaluru,Karnataka,51,7,ATM-DEL-011
ACC00092,Mule/Suspicious,True,Patna,Bihar,15,4,ATM-KAN-007
ACC00093,Mule/Suspicious,True,Patna,Bihar,6,5,ATM-PAT-003
ACC00094,Mule/Suspicious,True,Mumbai,Maharashtra,101,6,ATM-DEL-010
ACC00095,Mule/Suspicious,True,Lucknow,Uttar Pradesh,34,6,ATM-KAN-014
ACC00096,Mule/Suspicious,True,Delhi,Delhi,13,7,ATM-KAN-012
ACC00097,Mule/Suspicious,True,Patna,Bihar,52,7,ATM-PAT-003
ACC00098,Mule/Suspicious,True,Mumbai,Maharashtra,64,3,ATM-KAN-012
ACC00099,Mule/Suspicious,True,Hyderabad,Telangana,199,4,ATM-DEL-000
ACC00100,Regular,False,Bengaluru,Karnataka,762,1,ATM-BEN-015
ACC00101,Regular,False,Hyderabad,Telangana,375,1,ATM-BEN-017
ACC00102,Regular,False,Hyderabad,Telangana,1243,1,ATM-BEN-085
ACC00103,Regular,False,Jaipur,Rajasthan,446,1,ATM-KAN-096
ACC00104,Regular,False,Hyderabad,Telangana,1129,2,ATM-MUM-078
ACC00105,Regular,False,Patna,Bihar,1079,2,ATM-DEL-070
ACC00106,Regular,False,Hyderabad,Telangana,2102,2,ATM-BEN-020
ACC00107,Regular,False,Hyderabad,Telangana,2476,1,ATM-BEN-057
ACC00108,Regular,False,Kanpur,Uttar Pradesh,1578,2,ATM-KAN-096
ACC00109,Regular,False,Bengaluru,Karnataka,2144,1,ATM-HYD-081
ACC00110,Regular,False,Kanpur,Uttar Pradesh,2821,2,ATM-KAN-098
ACC00111,Regular,False,Hyderabad,Telangana,2252,1,ATM-JAI-080
ACC00112,Regular,False,Bengaluru,Karnataka,2908,2,ATM-DEL-035
ACC00113,Regular,False,Hyderabad,Telangana,680,1,ATM-MUM-009
ACC00114,Regular,False,Kanpur,Uttar Pradesh,1783,1,ATM-KAN-030
ACC00115,Regular,False,Kanpur,Uttar Pradesh,2973,2,ATM-MUM-042
ACC00116,Regular,False,Jaipur,Rajasthan,540,1,ATM-KAN-069
ACC00117,Regular,False,Delhi,Delhi,2369,2,ATM-BEN-017
ACC00118,Regular,False,Mumbai,Maharashtra,2625,2,ATM-KAN-029
ACC00119,Regular,False,Patna,Bihar,2600,1,ATM-BEN-088
ACC00120,Regular,False,Mumbai,Maharashtra,2097,1,ATM-JAI-090
ACC00121,Regular,False,Bengaluru,Karnataka,2307,1,ATM-PAT-008
ACC00122,Regular,False,Patna,Bihar,1245,1,ATM-HYD-052
ACC00123,Regular,False,Jaipur,Rajasthan,1604,2,ATM-KAN-069
ACC00124,Regular,False,Hyderabad,Telangana,1278,1,ATM-DEL-053
ACC00125,Regular,False,Lucknow,Uttar Pradesh,2705,1,ATM-KAN-026
ACC00126,Regular,False,Patna,Bihar,330,1,ATM-MUM-049
ACC00127,Regular,False,Lucknow,Uttar Pradesh,2733,2,ATM-KAN-097
ACC00128,Regular,False,Patna,Bihar,1180,2,ATM-BEN-061
ACC00129,Regular,False,Lucknow,Uttar Pradesh,2859,2,ATM-JAI-045
ACC00130,Regular,False,Kanpur,Uttar Pradesh,1540,2,ATM-KAN-096
ACC00131,Regular,False,Patna,Bihar,1961,1,ATM-DEL-053
ACC00132,Regular,False,Bengaluru,Karnataka,438,2,ATM-BEN-062
ACC00133,Regular,False,Bengaluru,Karnataka,1106,1,ATM-MUM-034
ACC00134,Regular,False,Patna,Bihar,779,1,ATM-BEN-062
ACC00135,Regular,False,Lucknow,Uttar Pradesh,2412,1,ATM-MUM-049
ACC00136,Regular,False,Jaipur,Rajasthan,499,1,ATM-BEN-085
ACC00137,Regular,False,Patna,Bihar,1574,1,ATM-DEL-092
ACC00138,Regular,False,Mumbai,Maharashtra,2988,2,ATM-KAN-059
ACC00139,Regular,False,Mumbai,Maharashtra,1425,1,ATM-BEN-079
ACC00140,Regular,False,Lucknow,Uttar Pradesh,1719,1,ATM-BEN-050
ACC00141,Regular,False,Lucknow,Uttar Pradesh,510,2,ATM-DEL-010
ACC00142,Regular,False,Patna,Bihar,2120,2,ATM-BEN-017
ACC00143,Regular,False,Hyderabad,Telangana,1923,1,ATM-KAN-023
ACC00144,Regular,False,Lucknow,Uttar Pradesh,2544,2,ATM-DEL-033
ACC00145,Regular,False,Patna,Bihar,2156,2,ATM-DEL-041
ACC00146,Regular,False,Bengaluru,Karnataka,1298,1,ATM-JAI-058
ACC00147,Regular,False,Jaipur,Rajasthan,2171,1,ATM-LUC-043
ACC00148,Regular,False,Patna,Bihar,1627,2,ATM-DEL-035
ACC00149,Regular,False,Patna,Bihar,2962,2,ATM-MUM-032
ACC00150,Regular,False,Delhi,Delhi,2614,2,ATM-MUM-060
ACC00151,Regular,False,Lucknow,Uttar Pradesh,2472,1,ATM-KAN-095
ACC00152,Regular,False,Lucknow,Uttar Pradesh,2739,1,ATM-HYD-044
ACC00153,Regular,False,Bengaluru,Karnataka,2304,2,ATM-MUM-083
ACC00154,Regular,False,Delhi,Delhi,2177,1,ATM-MUM-099
ACC00155,Regular,False,Lucknow,Uttar Pradesh,2371,2,ATM-KAN-096
ACC00156,Regular,False,Lucknow,Uttar Pradesh,2168,2,ATM-PAT-031
ACC00157,Regular,False,Bengaluru,Karnataka,2735,1,ATM-DEL-002
ACC00158,Regular,False,Mumbai,Maharashtra,1405,1,ATM-KAN-030
ACC00159,Regular,False,Mumbai,Maharashtra,212,2,ATM-MUM-060
ACC00160,Regular,False,Delhi,Delhi,1791,2,ATM-DEL-072
ACC00161,Regular,False,Bengaluru,Karnataka,515,1,ATM-KAN-059
ACC00162,Regular,False,Kanpur,Uttar Pradesh,2500,1,ATM-KAN-098
ACC00163,Regular,False,Jaipur,Rajasthan,2283,1,ATM-MUM-021
ACC00164,Regular,False,Delhi,Delhi,849,1,ATM-MUM-099
ACC00165,Regular,False,Mumbai,Maharashtra,1237,1,ATM-PAT-039
ACC00166,Regular,False,Delhi,Delhi,413,1,ATM-BEN-074
ACC00167,Regular,False,Lucknow,Uttar Pradesh,810,2,ATM-PAT-039
ACC00168,Regular,False,Patna,Bihar,2441,1,ATM-BEN-050
ACC00169,Regular,False,Bengaluru,Karnataka,2915,1,ATM-MUM-009
ACC00170,Regular,False,Bengaluru,Karnataka,1089,2,ATM-DEL-013
ACC00171,Regular,False,Kanpur,Uttar Pradesh,1668,1,ATM-KAN-087
ACC00172,Regular,False,Delhi,Delhi,2771,2,ATM-DEL-072
ACC00173,Regular,False,Lucknow,Uttar Pradesh,1741,2,ATM-HYD-044
ACC00174,Regular,False,Patna,Bihar,392,1,ATM-BEN-084
ACC00175,Regular,False,Jaipur,Rajasthan,1954,2,ATM-PAT-008
ACC00176,Regular,False,Jaipur,Rajasthan,1010,1,ATM-BEN-001
ACC00177,Regular,False,Patna,Bihar,1949,2,ATM-BEN-062
ACC00178,Regular,False,Delhi,Delhi,1263,1,ATM-BEN-055
ACC00179,Regular,False,Jaipur,Rajasthan,308,2,ATM-HYD-081
ACC00180,Regular,False,Hyderabad,Telangana,2883,2,ATM-JAI-090
ACC00181,Regular,False,Mumbai,Maharashtra,2690,2,ATM-BEN-055
ACC00182,Regular,False,Mumbai,Maharashtra,481,1,ATM-KAN-093
ACC00183,Regular,False,Kanpur,Uttar Pradesh,962,2,ATM-MUM-078
ACC00184,Regular,False,Hyderabad,Telangana,2004,2,ATM-KAN-059
ACC00185,Regular,False,Patna,Bihar,1176,2,ATM-KAN-093
ACC00186,Regular,False,Kanpur,Uttar Pradesh,929,1,ATM-DEL-041
ACC00187,Regular,False,Bengaluru,Karnataka,2927,2,ATM-DEL-011
ACC00188,Regular,False,Kanpur,Uttar Pradesh,1458,1,ATM-BEN-057
ACC00189,Regular,False,Bengaluru,Karnataka,1691,1,ATM-KAN-096
ACC00190,Regular,False,Hyderabad,Telangana,1339,1,ATM-DEL-072
ACC00191,Regular,False,Patna,Bihar,2110,1,ATM-LUC-043
ACC00192,Regular,False,Lucknow,Uttar Pradesh,555,1,ATM-PAT-063
ACC00193,Regular,False,Jaipur,Rajasthan,2499,2,ATM-KAN-023
ACC00194,Regular,False,Hyderabad,Telangana,1354,1,ATM-JAI-027
ACC00195,Regular,False,Jaipur,Rajasthan,1909,2,ATM-DEL-033
ACC00196,Regular,False,Jaipur,Rajasthan,413,2,ATM-DEL-035
ACC00197,Regular,False,Kanpur,Uttar Pradesh,2622,1,ATM-LUC-071
ACC00198,Regular,False,Lucknow,Uttar Pradesh,644,2,ATM-JAI-066
ACC00199,Regular,False,Bengaluru,Karnataka,1241,1,ATM-DEL-010
ACC00200,Regular,False,Bengaluru,Karnataka,1534,1,ATM-DEL-092
ACC00201,Regular,False,Patna,Bihar,604,1,ATM-BEN-062
ACC00202,Regular,False,Bengaluru,Karnataka,2293,1,ATM-BEN-088
ACC00203,Regular,False,Hyderabad,Telangana,2915,1,ATM-LUC-082
ACC00204,Regular,False,Hyderabad,Telangana,1784,1,ATM-BEN-057
ACC00205,Regular,False,Lucknow,Uttar Pradesh,1501,1,ATM-DEL-011
ACC00206,Regular,False,Kanpur,Uttar Pradesh,557,1,ATM-PAT-028
ACC00207,Regular,False,Patna,Bihar,338,2,ATM-BEN-088
ACC00208,Regular,False,Bengaluru,Karnataka,2130,1,ATM-PAT-039
ACC00209,Regular,False,Jaipur,Rajasthan,2999,2,ATM-MUM-060
ACC00210,Regular,False,Jaipur,Rajasthan,2755,1,ATM-DEL-054
ACC00211,Regular,False,Jaipur,Rajasthan,2348,1,ATM-JAI-045
ACC00212,Regular,False,Hyderabad,Telangana,2314,1,ATM-MUM-034
ACC00213,Regular,False,Kanpur,Uttar Pradesh,877,2,ATM-MUM-032
ACC00214,Regular,False,Bengaluru,Karnataka,758,1,ATM-BEN-015
ACC00215,Regular,False,Bengaluru,Karnataka,2870,1,ATM-LUC-040
ACC00216,Regular,False,Delhi,Delhi,764,1,ATM-KAN-095
ACC00217,Regular,False,Mumbai,Maharashtra,2074,2,ATM-JAI-024
ACC00218,Regular,False,Bengaluru,Karnataka,312,1,ATM-DEL-094
ACC00219,Regular,False,Hyderabad,Telangana,500,2,ATM-DEL-035
ACC00220,Regular,False,Kanpur,Uttar Pradesh,1584,2,ATM-KAN-012
ACC00221,Regular,False,Bengaluru,Karnataka,2357,1,ATM-LUC-037
ACC00222,Regular,False,Bengaluru,Karnataka,1047,1,ATM-LUC-046
ACC00223,Regular,False,Mumbai,Maharashtra,1736,1,ATM-JAI-038
ACC00224,Regular,False,Lucknow,Uttar Pradesh,429,1,ATM-JAI-090
ACC00225,Regular,False,Mumbai,Maharashtra,1317,2,ATM-DEL-035
ACC00226,Regular,False,Lucknow,Uttar Pradesh,1533,1,ATM-PAT-006
ACC00227,Regular,False,Kanpur,Uttar Pradesh,2309,1,ATM-MUM-089
ACC00228,Regular,False,Mumbai,Maharashtra,1982,1,ATM-HYD-081
ACC00229,Regular,False,Hyderabad,Telangana,780,2,ATM-DEL-013
ACC00230,Regular,False,Lucknow,Uttar Pradesh,1920,2,ATM-PAT-073
ACC00231,Regular,False,Kanpur,Uttar Pradesh,1168,2,ATM-MUM-060
ACC00232,Regular,False,Hyderabad,Telangana,1975,1,ATM-LUC-056
ACC00233,Regular,False,Jaipur,Rajasthan,1413,1,ATM-KAN-023
ACC00234,Regular,False,Lucknow,Uttar Pradesh,2228,1,ATM-MUM-032
ACC00235,Regular,False,Hyderabad,Telangana,1629,2,ATM-KAN-014
ACC00236,Regular,False,Delhi,Delhi,2747,2,ATM-KAN-051
ACC00237,Regular,False,Hyderabad,Telangana,1934,1,ATM-MUM-009
ACC00238,Regular,False,Lucknow,Uttar Pradesh,2147,1,ATM-MUM-019
ACC00239,Regular,False,Mumbai,Maharashtra,594,2,ATM-DEL-072
ACC00240,Regular,False,Kanpur,Uttar Pradesh,2554,1,ATM-DEL-010
ACC00241,Regular,False,Bengaluru,Karnataka,908,2,ATM-BEN-015
ACC00242,Regular,False,Patna,Bihar,309,2,ATM-KAN-077
ACC00243,Regular,False,Bengaluru,Karnataka,1569,1,ATM-MUM-099
ACC00244,Regular,False,Patna,Bihar,769,1,ATM-BEN-057
ACC00245,Regular,False,Hyderabad,Telangana,857,1,ATM-JAI-038
ACC00246,Regular,False,Patna,Bihar,1695,1,ATM-PAT-039
ACC00247,Regular,False,Lucknow,Uttar Pradesh,541,1,ATM-MUM-078
ACC00248,Regular,False,Delhi,Delhi,1308,2,ATM-KAN-097
ACC00249,Regular,False,Bengaluru,Karnataka,1987,2,ATM-JAI-080
ACC00250,Regular,False,Bengaluru,Karnataka,2144,1,ATM-DEL-033
ACC00251,Regular,False,Delhi,Delhi,2708,1,ATM-BEN-020
ACC00252,Regular,False,Bengaluru,Karnataka,1632,2,ATM-MUM-022
ACC00253,Regular,False,Delhi,Delhi,665,2,ATM-BEN-020
ACC00254,Regular,False,Lucknow,Uttar Pradesh,811,1,ATM-HYD-052
ACC00255,Regular,False,Hyderabad,Telangana,656,2,ATM-BEN-088
ACC00256,Regular,False,Hyderabad,Telangana,1160,2,ATM-LUC-037
ACC00257,Regular,False,Lucknow,Uttar Pradesh,430,1,ATM-KAN-029
ACC00258,Regular,False,Kanpur,Uttar Pradesh,1687,2,ATM-JAI-090
ACC00259,Regular,False,Kanpur,Uttar Pradesh,761,2,ATM-MUM-089
ACC00260,Regular,False,Hyderabad,Telangana,543,2,ATM-MUM-009
ACC00261,Regular,False,Bengaluru,Karnataka,2126,1,ATM-DEL-033
ACC00262,Regular,False,Bengaluru,Karnataka,440,1,ATM-DEL-054
ACC00263,Regular,False,Delhi,Delhi,1950,1,ATM-KAN-069
ACC00264,Regular,False,Bengaluru,Karnataka,1622,1,ATM-LUC-082
ACC00265,Regular,False,Mumbai,Maharashtra,2776,1,ATM-MUM-034
ACC00266,Regular,False,Mumbai,Maharashtra,187,2,ATM-MUM-009
ACC00267,Regular,False,Lucknow,Uttar Pradesh,2453,1,ATM-MUM-021
ACC00268,Regular,False,Kanpur,Uttar Pradesh,1864,2,ATM-PAT-076
ACC00269,Regular,False,Kanpur,Uttar Pradesh,770,1,ATM-LUC-056
ACC00270,Regular,False,Delhi,Delhi,2785,2,ATM-KAN-059
ACC00271,Regular,False,Kanpur,Uttar Pradesh,1923,1,ATM-MUM-089
ACC00272,Regular,False,Patna,Bihar,1678,2,ATM-MUM-034
ACC00273,Regular,False,Hyderabad,Telangana,2287,2,ATM-LUC-056
ACC00274,Regular,False,Delhi,Delhi,596,1,ATM-PAT-076
ACC00275,Regular,False,Lucknow,Uttar Pradesh,2191,1,ATM-BEN-055
ACC00276,Regular,False,Jaipur,Rajasthan,2561,1,ATM-KAN-077
ACC00277,Regular,False,Kanpur,Uttar Pradesh,1680,1,ATM-PAT-003
ACC00278,Regular,False,Delhi,Delhi,2625,2,ATM-KAN-029
ACC00279,Regular,False,Lucknow,Uttar Pradesh,1681,1,ATM-KAN-097
ACC00280,Regular,False,Kanpur,Uttar Pradesh,475,1,ATM-PAT-073
ACC00281,Regular,False,Lucknow,Uttar Pradesh,1243,2,ATM-KAN-097
ACC00282,Regular,False,Mumbai,Maharashtra,1770,1,ATM-MUM-060
ACC00283,Regular,False,Hyderabad,Telangana,776,2,ATM-DEL-035
ACC00284,Regular,False,Mumbai,Maharashtra,1689,1,ATM-BEN-074
ACC00285,Regular,False,Patna,Bihar,2691,2,ATM-HYD-081
ACC00286,Regular,False,Hyderabad,Telangana,1516,2,ATM-DEL-011
ACC00287,Regular,False,Hyderabad,Telangana,2405,1,ATM-HYD-044
ACC00288,Regular,False,Patna,Bihar,1532,2,ATM-MUM-042
ACC00289,Regular,False,Jaipur,Rajasthan,1694,2,ATM-BEN-085
ACC00290,Regular,False,Delhi,Delhi,1752,2,ATM-BEN-020
ACC00291,Regular,False,Jaipur,Rajasthan,1397,1,ATM-HYD-052
ACC00292,Regular,False,Hyderabad,Telangana,1248,1,ATM-HYD-036
ACC00293,Regular,False,Patna,Bihar,1203,2,ATM-KAN-097
ACC00294,Regular,False,Lucknow,Uttar Pradesh,1893,1,ATM-JAI-058
ACC00295,Regular,False,Delhi,Delhi,1184,1,ATM-LUC-040
ACC00296,Regular,False,Kanpur,Uttar Pradesh,1111,1,ATM-DEL-041
ACC00297,Regular,False,Delhi,Delhi,848,2,ATM-KAN-098
ACC00298,Regular,False,Patna,Bihar,815,2,ATM-DEL-065
ACC00299,Regular,False,Lucknow,Uttar Pradesh,873,2,ATM-BEN-084
ACC00300,Regular,False,Hyderabad,Telangana,2579,2,ATM-HYD-052
ACC00301,Regular,False,Lucknow,Uttar Pradesh,983,1,ATM-JAI-024
ACC00302,Regular,False,Jaipur,Rajasthan,336,1,ATM-BEN-079
ACC00303,Regular,False,Hyderabad,Telangana,406,1,ATM-JAI-080
ACC00304,Regular,False,Hyderabad,Telangana,231,1,ATM-KAN-097
ACC00305,Regular,False,Lucknow,Uttar Pradesh,2950,1,ATM-KAN-026
ACC00306,Regular,False,Kanpur,Uttar Pradesh,2708,2,ATM-DEL-070
ACC00307,Regular,False,Mumbai,Maharashtra,2913,2,ATM-HYD-036
ACC00308,Regular,False,Hyderabad,Telangana,194,2,ATM-MUM-089
ACC00309,Regular,False,Hyderabad,Telangana,907,2,ATM-BEN-015
ACC00310,Regular,False,Lucknow,Uttar Pradesh,2218,2,ATM-JAI-080
ACC00311,Regular,False,Bengaluru,Karnataka,2800,1,ATM-JAI-090
ACC00312,Regular,False,Mumbai,Maharashtra,1688,2,ATM-PAT-039
ACC00313,Regular,False,Lucknow,Uttar Pradesh,969,2,ATM-DEL-070
ACC00314,Regular,False,Patna,Bihar,758,2,ATM-DEL-011
ACC00315,Regular,False,Bengaluru,Karnataka,1092,1,ATM-KAN-014
ACC00316,Regular,False,Hyderabad,Telangana,742,2,ATM-BEN-015
ACC00317,Regular,False,Mumbai,Maharashtra,863,1,ATM-PAT-063
ACC00318,Regular,False,Kanpur,Uttar Pradesh,2174,2,ATM-DEL-065
ACC00319,Regular,False,Kanpur,Uttar Pradesh,993,1,ATM-DEL-053
ACC00320,Regular,False,Hyderabad,Telangana,1607,1,ATM-MUM-060
ACC00321,Regular,False,Bengaluru,Karnataka,1536,1,ATM-JAI-058
ACC00322,Regular,False,Mumbai,Maharashtra,1854,2,ATM-MUM-049
ACC00323,Regular,False,Bengaluru,Karnataka,1129,2,ATM-PAT-076
ACC00324,Regular,False,Mumbai,Maharashtra,1727,2,ATM-PAT-008
ACC00325,Regular,False,Kanpur,Uttar Pradesh,2971,1,ATM-KAN-098
ACC00326,Regular,False,Patna,Bihar,2110,2,ATM-LUC-043
ACC00327,Regular,False,Kanpur,Uttar Pradesh,898,1,ATM-DEL-000
ACC00328,Regular,False,Kanpur,Uttar Pradesh,187,1,ATM-DEL-092
ACC00329,Regular,False,Kanpur,Uttar Pradesh,1859,2,ATM-MUM-075
ACC00330,Regular,False,Hyderabad,Telangana,1889,1,ATM-MUM-019
ACC00331,Regular,False,Hyderabad,Telangana,1163,1,ATM-MUM-068
ACC00332,Regular,False,Hyderabad,Telangana,2579,2,ATM-HYD-044
ACC00333,Regular,False,Jaipur,Rajasthan,2901,2,ATM-DEL-070
ACC00334,Regular,False,Patna,Bihar,2810,1,ATM-JAI-058
ACC00335,Regular,False,Jaipur,Rajasthan,2826,2,ATM-JAI-024
ACC00336,Regular,False,Bengaluru,Karnataka,1249,1,ATM-PAT-073
ACC00337,Regular,False,Patna,Bihar,2269,2,ATM-KAN-029
ACC00338,Regular,False,Patna,Bihar,315,1,ATM-LUC-005
