transaction_id,complaint_id,account_id,amount,timestamp,hour,day_of_week,transaction_type,sender_account,receiver_account,previous_withdrawal_location,distance_from_previous_location,withdrawal_frequency,average_withdrawal_amount,account_age_days,transaction_velocity,linked_accounts,device_count,location_id,latitude,longitude,historical_location_frequency,time_since_last_withdrawal,is_hotspot_location,risk_label
TXN100015,CMP-1015,ACC00076,5960.82,2025-04-16T13:00:00,13,2,Wallet,ACC00123,ACC00076,ATM-PAT-031,21.85,0,5142.47,62,4.11,67,4,ATM-PAT-008,25.523627,85.146512,15,66.44,True,MEDIUM
TXN100016,CMP-1016,ACC00032,267.21,2025-06-22T17:00:00,17,6,Wallet,ACC00492,ACC00032,ATM-BEN-050,1543.47,4,3139.64,36,4.85,49,2,ATM-KAN-012,26.434085,80.434563,16,71.57,True,MEDIUM
TXN100017,CMP-1017,ACC00016,6514.45,2025-08-16T10:00:00,10,5,Card,ACC00482,ACC00016,ATM-MUM-060,1137.75,2,4428.66,233,1.61,60,4,ATM-DEL-004,28.650301,77.283906,12,53.28,True,LOW
TXN100018,CMP-1018,ACC00094,9946.68,2025-01-01T04:00:00,4,2,RTGS,ACC00136,ACC00094,ATM-BEN-017,1726.4,2,4121.01,110,6.5,75,6,ATM-DEL-010,28.654167,77.079218,18,12.54,True,LOW
TXN100019,CMP-1019,ACC00073,4785.26,2025-01-19T00:00:00,0,6,Card,ACC00260,ACC00073,ATM-KAN-026,33.41,2,2902.57,57,6.6,67,7,ATM-KAN-014,26.483169,80.168622,20,23.43,True,LOW
TXN100020,CMP-1020,ACC00041,2025.08,2025-05-31T06:00:00,6,5,RTGS,ACC00307,ACC00041,ATM-PAT-031,494.2,2,1964.85,39,4.34,65,8,ATM-KAN-077,26.624734,80.23904,1,70.74,False,LOW
TXN100021,CMP-1021,ACC00013,634.3,2025-03-29T12:00:00,12,5,UPI,ACC00145,ACC00013,ATM-DEL-000,34.01,3,3862.28,47,1.54,69,5,ATM-DEL-070,28.780381,77.119642,2,69.07,False,LOW
TXN100023,CMP-1023,ACC00067,3753.42,2025-08-25T01:00:00,1,0,IMPS,ACC00361,ACC00067,ATM-BEN-020,1541.17,2,4624.05,14,5.54,60,7,ATM-KAN-014,26.483169,80.168622,22,58.67,True,LOW
TXN100024,CMP-1024,ACC00032,2408.1,2025-02-02T22:00:00,22,6,Card,ACC00220,ACC00032,ATM-MUM-009,1155.48,5,2896.19,38,2.96,51,4,ATM-DEL-000,28.568734,77.371257,15,63.78,True,MEDIUM
TXN100027,CMP-1027,ACC00060,9700.71,2025-04-15T20:00:00,20,1,NEFT,ACC00177,ACC00060,ATM-PAT-064,1583.61,1,2820.35,130,4.29,79,6,ATM-BEN-001,13.055118,77.630117,8,55.03,True,LOW
TXN100028,CMP-1028,ACC00039,3110.52,2025-02-01T01:00:00,1,5,RTGS,ACC00280,ACC00039,ATM-DEL-000,424.76,4,2368.75,92,5.16,70,3,ATM-LUC-005,26.67411,81.115368,16,37.19,True,LOW
TXN100029,CMP-1029,ACC00011,8662.86,2025-09-06T19:00:00,19,5,UPI,ACC00246,ACC00011,ATM-BEN-074,1623.97,1,5596.93,27,8.26,68,4,ATM-PAT-008,25.523627,85.146512,15,15.53,True,MEDIUM
TXN100030,CMP-1030,ACC00094,9843.74,2025-02-26T12:00:00,12,2,UPI,ACC00397,ACC00094,ATM-JAI-027,220.41,2,3752.49,105,7.15,75,6,ATM-DEL-010,28.654167,77.079218,17,7.4,True,MEDIUM
TXN100031,CMP-1031,ACC00064,5923.12,2025-03-09T12:00:00,12,6,RTGS,ACC00264,ACC00064,ATM-BEN-050,1615.92,5,3054.65,48,4.59,56,7,ATM-PAT-003,25.43501,85.269423,23,36.65,True,LOW
TXN100033,CMP-1033,ACC00056,4245.59,2025-01-10T21:00:00,21,4,UPI,ACC00462,ACC00056,ATM-DEL-086,881.97,5,3620.29,63,6.22,60,6,ATM-PAT-003,25.43501,85.269423,22,59.19,True,MEDIUM
TXN100035,CMP-1035,ACC00008,8581.88,2025-08-10T00:00:00,0,6,Wallet,ACC00423,ACC00008,ATM-DEL-000,30.05,2,3743.13,20,3.93,73,3,ATM-DEL-010,28.654167,77.079218,18,55.12,True,LOW
TXN100036,CMP-1036,ACC00084,3793.32,2025-07-11T06:00:00,6,4,IMPS,ACC00245,ACC00084,ATM-DEL-010,0.0,3,3456.95,46,8.02,69,7,ATM-DEL-010,28.654167,77.079218,18,36.34,True,LOW
TXN100037,CMP-1037,ACC00018,5154.36,2025-05-19T23:00:00,23,0,IMPS,ACC00141,ACC00018,ATM-KAN-023,380.55,5,2274.44,44,7.68,73,6,ATM-DEL-000,28.568734,77.371257,13,24.28,True,MEDIUM
TXN100038,CMP-1038,ACC00010,8947.54,2025-08-24T13:00:00,13,6,Card,ACC00166,ACC00010,ATM-PAT-076,6.5,4,4080.38,20,5.15,66,5,ATM-PAT-008,25.523627,85.146512,15,6.17,True,MEDIUM
TXN100039,CMP-1039,ACC00094,16511.67,2025-08-13T17:00:00,17,2,UPI,ACC00165,ACC00094,ATM-DEL-004,19.98,3,3603.37,105,6.61,75,6,ATM-DEL-010,28.654167,77.079218,16,24.01,True,HIGH
TXN100040,CMP-1040,ACC00046,2948.47,2025-03-05T03:00:00,3,2,Wallet,ACC00360,ACC00046,ATM-HYD-044,1052.98,3,3291.45,66,5.46,64,5,ATM-LUC-005,26.67411,81.115368,15,12.05,True,LOW
TXN100041,CMP-1041,ACC00017,6971.5,2025-03-04T22:00:00,22,1,UPI,ACC00198,ACC00017,ATM-PAT-031,5.21,3,6555.16,134,3.53,71,4,ATM-PAT-006,25.713779,85.034042,19,65.58,True,LOW
TXN100042,CMP-1042,ACC00098,4694.83,2025-02-19T21:00:00,21,2,Card,ACC00438,ACC00098,ATM-JAI-058,477.21,2,1439.1,66,2.04,58,2,ATM-KAN-012,26.434085,80.434563,16,32.21,True,MEDIUM
TXN100043,CMP-1043,ACC00088,2707.85,2025-08-17T00:00:00,0,6,Wallet,ACC00183,ACC00088,ATM-KAN-051,12.81,1,12626.65,136,1.4,77,6,ATM-KAN-007,26.335357,80.217926,10,5.37,True,MEDIUM
TXN100044,CMP-1044,ACC00086,27557.74,2025-08-25T00:00:00,0,0,UPI,ACC00122,ACC00086,ATM-BEN-001,1717.21,7,2767.92,54,4.82,59,5,ATM-DEL-002,28.490067,77.085158,9,64.1,True,HIGH
TXN100045,CMP-1045,ACC00057,3740.26,2025-03-09T04:00:00,4,6,UPI,ACC00485,ACC00057,ATM-BEN-088,1723.86,4,2438.06,50,7.08,69,7,ATM-DEL-011,28.539072,77.16089,14,62.7,True,LOW
TXN100046,CMP-1046,ACC00073,3853.29,2025-05-26T02:00:00,2,0,RTGS,ACC00199,ACC00073,ATM-HYD-081,1141.56,3,2893.82,69,3.65,66,6,ATM-PAT-006,25.713779,85.034042,19,53.49,True,LOW
TXN100047,CMP-1047,ACC00020,18124.61,2025-03-15T00:00:00,0,5,Card,ACC00357,ACC00020,ATM-KAN-059,21.35,4,3117.84,76,3.93,62,4,ATM-KAN-014,26.483169,80.168622,20,43.75,True,HIGH
TXN100048,CMP-1048,ACC00047,11469.74,2025-04-12T04:00:00,4,5,IMPS,ACC00126,ACC00047,ATM-JAI-027,213.92,1,7258.92,67,3.15,66,7,ATM-DEL-013,28.505783,77.214124,14,67.38,True,HIGH
TXN100049,CMP-1049,ACC00020,11238.41,2025-02-15T18:00:00,18,5,Wallet,ACC00245,ACC00020,ATM-PAT-039,838.32,4,3076.73,88,4.74,61,4,ATM-DEL-013,28.505783,77.214124,16,35.69,True,CRITICAL
TXN100051,CMP-1051,ACC00047,17158.78,2025-06-04T09:00:00,9,2,Wallet,ACC00127,ACC00047,ATM-JAI-027,220.41,1,6571.5,63,2.91,67,9,ATM-DEL-010,28.654167,77.079218,18,20.37,True,HIGH
TXN100052,CMP-1052,ACC00012,4340.34,2025-03-07T00:00:00,0,4,NEFT,ACC00114,ACC00012,ATM-KAN-014,17.15,4,2839.71,71,6.36,77,4,ATM-KAN-007,26.335357,80.217926,11,4.92,True,LOW
TXN100053,CMP-1053,ACC00060,5419.98,2025-09-03T02:00:00,2,2,RTGS,ACC00119,ACC00060,ATM-HYD-036,1084.08,2,2734.38,116,4.3,81,7,ATM-LUC-005,26.67411,81.115368,14,58.37,True,MEDIUM
TXN100054,CMP-1054,ACC00010,8185.31,2025-08-03T07:00:00,7,6,Wallet,ACC00329,ACC00010,ATM-BEN-055,1617.77,3,3919.61,37,2.16,66,5,ATM-PAT-008,25.523627,85.146512,15,33.79,True,MEDIUM
TXN100055,CMP-1055,ACC00030,644.55,2025-03-01T03:00:00,3,5,RTGS,ACC00156,ACC00030,ATM-KAN-059,381.4,1,4413.34,52,2.79,62,6,ATM-DEL-011,28.539072,77.16089,14,55.99,True,LOW
TXN100056,CMP-1056,ACC00058,2083.22,2025-03-25T17:00:00,17,1,RTGS,ACC00427,ACC00058,ATM-HYD-091,1233.21,1,5120.24,18,5.39,54,6,ATM-DEL-000,28.568734,77.371257,13,56.23,True,MEDIUM
TXN100057,CMP-1057,ACC00030,1367.11,2025-08-14T17:00:00,17,3,IMPS,ACC00423,ACC00030,ATM-BEN-001,1722.42,1,4556.51,59,5.46,63,5,ATM-DEL-011,28.539072,77.16089,14,52.19,True,HIGH
TXN100058,CMP-1058,ACC00073,4127.71,2025-05-22T03:00:00,3,3,IMPS,ACC00414,ACC00073,ATM-MUM-068,1443.39,3,3086.15,67,7.99,68,8,ATM-PAT-006,25.713779,85.034042,19,69.55,True,LOW
TXN100061,CMP-1061,ACC00044,1023.79,2025-01-01T14:00:00,14,2,UPI,ACC00282,ACC00044,ATM-MUM-032,1144.82,2,6233.19,61,3.65,64,6,ATM-DEL-013,28.505783,77.214124,14,51.37,True,MEDIUM
TXN100062,CMP-1062,ACC00069,8015.41,2025-05-26T05:00:00,5,0,RTGS,ACC00168,ACC00069,ATM-KAN-030,513.55,4,1474.1,62,3.31,70,4,ATM-PAT-003,25.43501,85.269423,21,14.53,True,LOW
TXN100063,CMP-1063,ACC00023,6809.71,2025-03-26T14:00:00,14,2,UPI,ACC00456,ACC00023,ATM-JAI-066,246.69,3,4558.48,28,7.9,57,3,ATM-DEL-092,28.526759,77.266594,2,42.51,False,LOW
TXN100064,CMP-1064,ACC00005,1753.34,2025-02-08T11:00:00,11,5,IMPS,ACC00118,ACC00005,ATM-KAN-093,492.75,4,4639.48,1,3.03,50,7,ATM-PAT-008,25.523627,85.146512,16,19.65,True,MEDIUM
TXN100065,CMP-1065,ACC00069,18707.33,2025-09-11T17:00:00,17,3,Wallet,ACC00363,ACC00069,ATM-HYD-091,1114.86,3,1700.02,72,4.19,69,4,ATM-PAT-003,25.43501,85.269423,23,70.88,True,HIGH
TXN100066,CMP-1066,ACC00099,13819.46,2025-09-05T21:00:00,21,4,IMPS,ACC00246,ACC00099,ATM-MUM-022,1156.52,2,4896.36,198,4.06,68,4,ATM-DEL-000,28.568734,77.371257,14,61.73,True,CRITICAL
TXN100067,CMP-1067,ACC00051,3443.72,2025-02-07T02:00:00,2,4,RTGS,ACC00288,ACC00051,ATM-MUM-048,1150.14,1,1390.84,21,3.69,58,5,ATM-DEL-000,28.568734,77.371257,13,44.48,True,LOW
TXN100068,CMP-1068,ACC00047,18065.43,2025-05-06T05:00:00,5,1,NEFT,ACC00354,ACC00047,ATM-PAT-003,886.29,2,6743.56,53,4.85,66,7,ATM-DEL-010,28.654167,77.079218,17,15.01,True,HIGH
TXN100069,CMP-1069,ACC00055,15145.45,2025-09-02T01:00:00,1,1,IMPS,ACC00472,ACC00055,ATM-JAI-090,239.71,6,3491.96,1,4.34,68,9,ATM-DEL-013,28.505783,77.214124,15,46.71,True,HIGH
TXN100070,CMP-1070,ACC00041,1070.72,2025-01-22T19:00:00,19,2,UPI,ACC00264,ACC00041,ATM-MUM-089,1459.79,3,1756.29,22,6.53,64,8,ATM-PAT-003,25.43501,85.269423,23,6.17,True,LOW
TXN100071,CMP-1071,ACC00044,13510.64,2025-09-12T04:00:00,4,4,RTGS,ACC00185,ACC00044,ATM-BEN-017,1725.3,1,5906.42,55,4.98,65,5,ATM-DEL-004,28.650301,77.283906,11,51.81,True,HIGH
TXN100072,CMP-1072,ACC00007,6195.79,2025-01-11T16:00:00,16,5,RTGS,ACC00240,ACC00007,ATM-KAN-023,83.77,2,2287.6,43,8.36,54,6,ATM-LUC-005,26.67411,81.115368,16,38.34,True,MEDIUM
TXN100073,CMP-1073,ACC00077,7399.41,2025-06-10T14:00:00,14,1,NEFT,ACC00115,ACC00077,ATM-BEN-020,1525.94,5,4275.83,22,4.76,62,5,ATM-KAN-007,26.335357,80.217926,12,29.1,True,LOW
TXN100074,CMP-1074,ACC00082,8689.53,2025-09-04T15:00:00,15,3,IMPS,ACC00134,ACC00082,ATM-LUC-005,436.62,4,4218.87,92,3.01,56,5,ATM-DEL-004,28.650301,77.283906,12,51.72,True,MEDIUM
TXN100075,CMP-1075,ACC00057,52652.73,2025-05-06T15:00:00,15,1,UPI,ACC00409,ACC00057,ATM-KAN-014,374.47,3,2188.56,43,9.62,68,7,ATM-DEL-011,28.539072,77.16089,15,26.8,True,CRITICAL
TXN100076,CMP-1076,ACC00046,31389.01,2025-07-23T11:00:00,11,2,NEFT,ACC00393,ACC00046,ATM-DEL-072,451.58,4,2958.72,89,4.03,64,5,ATM-LUC-005,26.67411,81.115368,16,62.68,True,HIGH
TXN100077,CMP-1077,ACC00063,66530.45,2025-06-04T15:00:00,15,2,RTGS,ACC00113,ACC00063,ATM-BEN-067,1708.47,3,1991.86,12,3.82,72,4,ATM-DEL-002,28.490067,77.085158,9,11.35,True,HIGH
TXN100078,CMP-1078,ACC00057,9212.47,2025-03-27T11:00:00,11,3,Card,ACC00496,ACC00057,ATM-MUM-049,1161.74,3,2182.18,59,1.89,68,8,ATM-DEL-011,28.539072,77.16089,16,51.88,True,LOW
TXN100079,CMP-1079,ACC00009,1161.72,2025-04-23T01:00:00,1,2,RTGS,ACC00202,ACC00009,ATM-KAN-012,401.8,0,4991.78,9,4.09,63,8,ATM-DEL-002,28.490067,77.085158,8,61.39,True,MEDIUM
TXN100080,CMP-1080,ACC00008,4051.48,2025-05-22T11:00:00,11,3,Wallet,ACC00441,ACC00008,ATM-BEN-057,1605.11,2,3342.94,18,3.94,72,3,ATM-PAT-006,25.713779,85.034042,19,61.88,True,LOW
TXN100081,CMP-1081,ACC00089,8354.03,2025-02-27T10:00:00,10,3,Card,ACC00464,ACC00089,ATM-BEN-055,1521.64,3,2834.59,21,4.65,62,4,ATM-KAN-007,26.335357,80.217926,11,27.47,True,LOW
TXN100083,CMP-1083,ACC00059,5071.83,2025-06-13T17:00:00,17,4,Card,ACC00383,ACC00059,ATM-MUM-068,1135.08,1,4465.66,49,6.96,57,6,ATM-DEL-011,28.539072,77.16089,15,28.37,True,MEDIUM
TXN100084,CMP-1084,ACC00091,3132.54,2025-05-22T12:00:00,12,3,IMPS,ACC00133,ACC00091,ATM-DEL-000,1155.48,5,3283.82,58,6.2,59,8,ATM-MUM-009,19.0515,72.802542,15,38.0,True,LOW
TXN100085,CMP-1085,ACC00040,20923.7,2025-04-13T14:00:00,14,6,IMPS,ACC00394,ACC00040,ATM-MUM-042,1146.77,5,2318.86,1,4.47,65,7,ATM-DEL-013,28.505783,77.214124,15,44.77,True,HIGH
TXN100087,CMP-1087,ACC00007,2868.39,2025-04-10T11:00:00,11,3,IMPS,ACC00321,ACC00007,ATM-MUM-032,1198.71,3,2429.96,40,5.88,55,7,ATM-LUC-005,26.67411,81.115368,15,39.21,True,MEDIUM
TXN100088,CMP-1088,ACC00090,30514.05,2025-07-21T09:00:00,9,0,UPI,ACC00184,ACC00090,ATM-KAN-029,24.08,5,7822.72,153,7.11,78,4,ATM-KAN-014,26.483169,80.168622,22,40.75,True,CRITICAL
TXN100089,CMP-1089,ACC00070,2266.37,2025-04-07T12:00:00,12,0,Wallet,ACC00228,ACC00070,ATM-LUC-005,454.35,1,4380.39,6,2.53,58,4,ATM-DEL-010,28.654167,77.079218,17,66.49,True,LOW
TXN100090,CMP-1090,ACC00075,28884.9,2025-04-24T02:00:00,2,3,Card,ACC00357,ACC00075,ATM-DEL-010,886.29,2,4236.75,90,3.08,52,6,ATM-PAT-003,25.43501,85.269423,22,18.16,True,MEDIUM
TXN100091,CMP-1091,ACC00003,6601.41,2025-05-31T15:00:00,15,5,IMPS,ACC00388,ACC00003,ATM-LUC-043,412.2,3,7291.72,67,2.35,78,8,ATM-DEL-004,28.650301,77.283906,11,52.99,True,LOW
TXN100092,CMP-1092,ACC00079,32482.02,2025-03-23T09:00:00,9,6,NEFT,ACC00492,ACC00079,ATM-DEL-002,863.8,3,2256.07,35,3.88,66,6,ATM-PAT-008,25.523627,85.146512,17,61.26,True,CRITICAL
TXN100094,CMP-1094,ACC00020,42029.95,2025-04-25T07:00:00,7,4,IMPS,ACC00137,ACC00020,ATM-LUC-046,1582.64,4,2977.57,87,7.64,62,4,ATM-BEN-001,13.055118,77.630117,6,21.14,True,HIGH
TXN100095,CMP-1095,ACC00040,9381.92,2025-02-07T10:00:00,10,4,NEFT,ACC00274,ACC00040,ATM-JAI-066,241.7,5,2797.0,4,7.07,67,7,ATM-DEL-013,28.505783,77.214124,14,26.45,True,LOW
TXN100096,CMP-1096,ACC00047,23040.24,2025-03-07T08:00:00,8,4,NEFT,ACC00304,ACC00047,ATM-BEN-085,1727.22,1,6487.11,68,7.45,65,7,ATM-DEL-000,28.568734,77.371257,13,45.74,True,MEDIUM
TXN100097,CMP-1097,ACC00057,10699.29,2025-04-03T12:00:00,12,3,NEFT,ACC00338,ACC00057,ATM-DEL-041,10.76,3,2366.01,38,5.85,69,6,ATM-DEL-011,28.539072,77.16089,15,71.71,True,CRITICAL
TXN100099,CMP-1099,ACC00063,3450.29,2025-01-09T23:00:00,23,3,Wallet,ACC00197,ACC00063,ATM-DEL-033,16.48,2,2148.91,31,7.19,74,3,ATM-DEL-011,28.539072,77.16089,16,38.05,True,LOW
TXN100100,CMP-1100,ACC00050,2474.37,2025-01-14T15:00:00,15,1,NEFT,ACC00354,ACC00050,ATM-DEL-070,32.46,2,3670.75,71,6.25,57,9,ATM-DEL-002,28.490067,77.085158,9,18.93,True,LOW
TXN100101,CMP-1101,ACC00063,32445.97,2025-01-24T02:00:00,2,4,Card,ACC00124,ACC00063,ATM-BEN-062,1742.43,2,2051.26,21,7.32,73,4,ATM-DEL-011,28.539072,77.16089,14,29.98,True,HIGH
TXN100102,CMP-1102,ACC00033,898.83,2025-04-14T11:00:00,11,0,Wallet,ACC00155,ACC00033,ATM-PAT-063,854.51,0,5188.98,29,4.47,58,5,ATM-DEL-004,28.650301,77.283906,11,53.75,True,MEDIUM
TXN100103,CMP-1103,ACC00071,1522.15,2025-05-16T08:00:00,8,4,Wallet,ACC00305,ACC00071,ATM-BEN-057,1739.78,1,5057.77,53,3.86,53,8,ATM-DEL-010,28.654167,77.079218,17,25.81,True,LOW
TXN100104,CMP-1104,ACC00097,5272.41,2025-02-04T03:00:00,3,1,UPI,ACC00297,ACC00097,ATM-KAN-093,507.22,2,3659.06,69,7.89,71,7,ATM-PAT-003,25.43501,85.269423,22,27.13,True,LOW
TXN100106,CMP-1106,ACC00077,11916.89,2025-03-02T23:00:00,23,6,IMPS,ACC00486,ACC00077,ATM-DEL-092,379.73,5,4385.82,19,7.0,63,4,ATM-KAN-007,26.335357,80.217926,11,66.57,True,MEDIUM
TXN100107,CMP-1107,ACC00042,6015.82,2025-09-12T08:00:00,8,4,Card,ACC00119,ACC00042,ATM-BEN-057,851.47,1,4689.61,27,4.86,78,5,ATM-MUM-083,19.011481,72.764847,1,24.11,False,LOW
TXN100110,CMP-1110,ACC00060,11881.26,2025-02-11T14:00:00,14,1,UPI,ACC00462,ACC00060,ATM-LUC-037,1581.93,2,3397.95,105,6.17,81,5,ATM-BEN-001,13.055118,77.630117,7,16.67,True,HIGH
TXN100111,CMP-1111,ACC00092,3684.3,2025-09-16T18:00:00,18,1,IMPS,ACC00313,ACC00092,ATM-DEL-065,395.73,2,2393.54,7,4.54,75,3,ATM-KAN-007,26.335357,80.217926,12,5.36,True,LOW
TXN100113,CMP-1113,ACC00067,3458.14,2025-08-17T07:00:00,7,6,UPI,ACC00398,ACC00067,ATM-HYD-091,1232.34,3,4732.62,5,3.65,60,8,ATM-DEL-011,28.539072,77.16089,16,9.73,True,MEDIUM
TXN100114,CMP-1114,ACC00073,16650.35,2025-03-19T15:00:00,15,2,Card,ACC00448,ACC00073,ATM-BEN-020,1630.04,2,3339.22,77,5.57,67,8,ATM-PAT-006,25.713779,85.034042,18,35.84,True,MEDIUM
TXN100115,CMP-1115,ACC00019,12865.67,2025-06-08T13:00:00,13,6,Wallet,ACC00325,ACC00019,ATM-LUC-082,5.56,0,4720.49,46,4.49,63,6,ATM-LUC-005,26.67411,81.115368,16,56.9,True,MEDIUM
TXN100116,CMP-1116,ACC00090,3521.58,2025-06-05T13:00:00,13,3,IMPS,ACC00476,ACC00090,ATM-DEL-092,834.52,5,6511.98,160,1.6,77,3,ATM-PAT-031,25.712446,85.086031,5,33.65,False,LOW
TXN100117,CMP-1117,ACC00048,19852.69,2025-06-02T04:00:00,4,0,UPI,ACC00439,ACC00048,ATM-DEL-072,32.33,2,1731.06,111,3.86,70,7,ATM-DEL-000,28.568734,77.371257,13,29.35,True,HIGH
TXN100118,CMP-1118,ACC00098,817.51,2025-05-11T13:00:00,13,6,Wallet,ACC00379,ACC00098,ATM-BEN-088,1519.34,1,1447.3,53,5.92,58,3,ATM-KAN-012,26.434085,80.434563,18,10.83,True,LOW
TXN100120,CMP-1120,ACC00090,3649.48,2025-07-06T12:00:00,12,6,NEFT,ACC00460,ACC00090,ATM-BEN-001,1717.21,4,8072.45,163,4.76,76,2,ATM-DEL-002,28.490067,77.085158,8,56.53,True,MEDIUM
TXN100121,CMP-1121,ACC00086,5665.99,2025-08-22T01:00:00,1,4,IMPS,ACC00247,ACC00086,ATM-KAN-096,387.22,7,2331.06,63,6.71,57,5,ATM-DEL-002,28.490067,77.085158,9,13.05,True,LOW
TXN100122,CMP-1122,ACC00091,1056.51,2025-04-09T04:00:00,4,2,NEFT,ACC00248,ACC00091,ATM-JAI-024,231.22,4,3112.03,46,5.6,58,7,ATM-DEL-011,28.539072,77.16089,16,8.76,True,LOW
TXN100123,CMP-1123,ACC00025,46821.45,2025-02-13T14:00:00,14,3,Card,ACC00482,ACC00025,ATM-LUC-025,105.28,4,2508.73,153,6.54,69,7,ATM-KAN-014,26.483169,80.168622,22,27.87,True,HIGH
TXN100124,CMP-1124,ACC00094,1974.71,2025-08-30T12:00:00,12,5,Wallet,ACC00170,ACC00094,ATM-MUM-009,1152.64,3,3435.7,100,2.74,77,6,ATM-DEL-010,28.654167,77.079218,17,71.2,True,LOW
TXN100125,CMP-1125,ACC00012,1533.79,2025-07-06T09:00:00,9,6,UPI,ACC00426,ACC00012,ATM-LUC-046,1582.64,4,3422.61,60,3.81,77,3,ATM-BEN-001,13.055118,77.630117,8,65.59,True,LOW
TXN100128,CMP-1128,ACC00004,8305.76,2025-01-23T19:00:00,19,3,Card,ACC00373,ACC00004,ATM-LUC-005,1557.33,3,2438.06,181,3.0,61,3,ATM-BEN-001,13.055118,77.630117,7,33.95,True,LOW
TXN100130,CMP-1130,ACC00072,1532.52,2025-06-04T19:00:00,19,2,RTGS,ACC00119,ACC00072,ATM-PAT-008,1458.58,7,7793.04,10,2.66,68,3,ATM-MUM-009,19.0515,72.802542,16,28.43,True,MEDIUM
TXN100131,CMP-1131,ACC00063,6963.35,2025-04-04T21:00:00,21,4,NEFT,ACC00428,ACC00063,ATM-HYD-091,1232.34,3,1922.1,28,6.68,74,5,ATM-DEL-011,28.539072,77.16089,14,13.98,True,MEDIUM
TXN100132,CMP-1132,ACC00014,10529.85,2025-03-08T07:00:00,7,5,RTGS,ACC00239,ACC00014,ATM-MUM-009,1110.57,2,2734.41,37,4.54,88,7,ATM-KAN-007,26.335357,80.217926,12,24.24,True,HIGH
TXN100133,CMP-1133,ACC00094,2631.92,2025-06-24T19:00:00,19,1,RTGS,ACC00467,ACC00094,ATM-PAT-006,851.8,3,3950.7,98,5.42,75,6,ATM-DEL-010,28.654167,77.079218,16,53.46,True,MEDIUM
TXN100134,CMP-1134,ACC00081,8544.81,2025-04-21T03:00:00,3,0,NEFT,ACC00189,ACC00081,ATM-KAN-069,420.29,5,3710.44,14,7.26,72,9,ATM-DEL-010,28.654167,77.079218,16,61.34,True,LOW
TXN100135,CMP-1135,ACC00012,2691.25,2025-05-03T12:00:00,12,5,Wallet,ACC00144,ACC00012,ATM-LUC-056,413.48,3,2973.79,66,2.53,77,2,ATM-DEL-013,28.505783,77.214124,15,43.36,True,LOW
