complaint_id,date,complaint_type,reported_amount,victim_account,suspected_account,transaction_id,channel,city,state,status,risk_score,risk_label
CMP-1092,2025-03-23T09:00:00,Romance Scam,32482.02,ACC00492,ACC00079,TXN100092,RTGS,Bengaluru,Karnataka,Under Investigation,93,CRITICAL
CMP-1093,2025-04-14T05:00:00,Job Fraud,7914.56,ACC00428,ACC00347,TXN100093,NEFT,Kanpur,Uttar Pradesh,Open,31,LOW
CMP-1094,2025-04-25T07:00:00,Romance Scam,42029.95,ACC00137,ACC00020,TXN100094,Card,Hyderabad,Telangana,Under Investigation,67,HIGH
CMP-1095,2025-02-07T10:00:00,SIM Swap Fraud,9381.92,ACC00274,ACC00040,TXN100095,RTGS,Bengaluru,Karnataka,Closed,36,LOW
CMP-1096,2025-03-07T08:00:00,Phishing,23040.24,ACC00304,ACC00047,TXN100096,NEFT,Jaipur,Rajasthan,Under Investigation,55,MEDIUM
CMP-1097,2025-04-03T12:00:00,Phishing,10699.29,ACC00338,ACC00057,TXN100097,UPI,Bengaluru,Karnataka,Open,86,CRITICAL
CMP-1098,2025-04-27T20:00:00,OTP Fraud,28068.52,ACC00296,ACC00314,TXN100098,NEFT,Kanpur,Uttar Pradesh,Open,62,MEDIUM
CMP-1099,2025-01-09T23:00:00,Romance Scam,3450.29,ACC00197,ACC00063,TXN100099,Card,Jaipur,Rajasthan,Closed,29,LOW
CMP-1100,2025-01-14T15:00:00,Fake Investment App,2474.37,ACC00354,ACC00050,TXN100100,IMPS,Kanpur,Uttar Pradesh,Under Investigation,28,LOW
CMP-1101,2025-01-24T02:00:00,Romance Scam,32445.97,ACC00124,ACC00063,TXN100101,NEFT,Jaipur,Rajasthan,Under Investigation,84,HIGH
CMP-1102,2025-04-14T11:00:00,Job Fraud,898.83,ACC00155,ACC00033,TXN100102,NEFT,Lucknow,Uttar Pradesh,Escalated,41,MEDIUM
CMP-1103,2025-05-16T08:00:00,Online Shopping Fraud,1522.15,ACC00305,ACC00071,TXN100103,NEFT,Lucknow,Uttar Pradesh,Open,36,LOW
CMP-1104,2025-02-04T03:00:00,Credit Card Fraud,5272.41,ACC00297,ACC00097,TXN100104,RTGS,Delhi,Delhi,Under Investigation,36,LOW
CMP-1105,2025-02-12T04:00:00,SIM Swap Fraud,2224.15,ACC00165,ACC00301,TXN100105,Wallet,Delhi,Delhi,Under Investigation,40,MEDIUM
CMP-1106,2025-03-02T23:00:00,Online Shopping Fraud,11916.89,ACC00486,ACC00077,TXN100106,UPI,Jaipur,Rajasthan,Under Investigation,60,MEDIUM
CMP-1107,2025-09-12T08:00:00,Online Shopping Fraud,6015.82,ACC00119,ACC00042,TXN100107,Card,Lucknow,Uttar Pradesh,Escalated,37,LOW
CMP-1108,2025-07-19T02:00:00,Credit Card Fraud,9699.52,ACC00410,ACC00171,TXN100108,NEFT,Mumbai,Maharashtra,Open,36,LOW
CMP-1109,2025-08-03T16:00:00,Credit Card Fraud,641.6,ACC00301,ACC00478,TXN100109,NEFT,Mumbai,Maharashtra,Escalated,46,MEDIUM
CMP-1110,2025-02-11T14:00:00,SIM Swap Fraud,11881.26,ACC00462,ACC00060,TXN100110,NEFT,Hyderabad,Telangana,Escalated,70,HIGH
CMP-1111,2025-09-16T18:00:00,UPI Fraud,3684.3,ACC00313,ACC00092,TXN100111,Wallet,Delhi,Delhi,Closed,28,LOW
CMP-1112,2025-01-29T15:00:00,Fake Investment App,13248.27,ACC00235,ACC00497,TXN100112,RTGS,Hyderabad,Telangana,Under Investigation,33,LOW
CMP-1113,2025-08-17T07:00:00,Credit Card Fraud,3458.14,ACC00398,ACC00067,TXN100113,Card,Lucknow,Uttar Pradesh,Under Investigation,46,MEDIUM
CMP-1114,2025-03-19T15:00:00,Phishing,16650.35,ACC00448,ACC00073,TXN100114,IMPS,Mumbai,Maharashtra,Closed,57,MEDIUM
CMP-1115,2025-06-08T13:00:00,Fake Investment App,12865.67,ACC00325,ACC00019,TXN100115,Card,Lucknow,Uttar Pradesh,Under Investigation,49,MEDIUM
CMP-1116,2025-06-05T13:00:00,Fake Investment App,3521.58,ACC00476,ACC00090,TXN100116,Wallet,Hyderabad,Telangana,Open,34,LOW
CMP-1117,2025-06-02T04:00:00,OTP Fraud,19852.69,ACC00439,ACC00048,TXN100117,Card,Jaipur,Rajasthan,Open,83,HIGH
CMP-1118,2025-05-11T13:00:00,Loan App Harassment,817.51,ACC00379,ACC00098,TXN100118,Wallet,Jaipur,Rajasthan,Closed,37,LOW
CMP-1119,2025-05-04T09:00:00,Fake Investment App,29343.32,ACC00198,ACC00242,TXN100119,NEFT,Hyderabad,Telangana,Under Investigation,38,LOW
CMP-1120,2025-07-06T12:00:00,Romance Scam,3649.48,ACC00460,ACC00090,TXN100120,NEFT,Kanpur,Uttar Pradesh,Under Investigation,50,MEDIUM
CMP-1121,2025-08-22T01:00:00,Job Fraud,5665.99,ACC00247,ACC00086,TXN100121,NEFT,Kanpur,Uttar Pradesh,Under Investigation,39,LOW
CMP-1122,2025-04-09T04:00:00,Romance Scam,1056.51,ACC00248,ACC00091,TXN100122,RTGS,Mumbai,Maharashtra,Open,33,LOW
CMP-1123,2025-02-13T14:00:00,Loan App Harassment,46821.45,ACC00482,ACC00025,TXN100123,Wallet,Kanpur,Uttar Pradesh,Escalated,78,HIGH
CMP-1124,2025-08-30T12:00:00,Fake Investment App,1974.71,ACC00170,ACC00094,TXN100124,UPI,Kanpur,Uttar Pradesh,Under Investigation,36,LOW
CMP-1125,2025-07-06T09:00:00,Romance Scam,1533.79,ACC00426,ACC00012,TXN100125,UPI,Bengaluru,Karnataka,Under Investigation,35,LOW
CMP-1126,2025-08-12T19:00:00,Romance Scam,2593.18,ACC00102,ACC00180,TXN100126,Card,Mumbai,Maharashtra,Under Investigation,24,LOW
CMP-1127,2025-07-26T04:00:00,UPI Fraud,4195.51,ACC00487,ACC00264,TXN100127,UPI,Bengaluru,Karnataka,Open,44,MEDIUM
CMP-1128,2025-01-23T19:00:00,OTP Fraud,8305.76,ACC00373,ACC00004,TXN100128,Card,Bengaluru,Karnataka,Closed,7,LOW
CMP-1129,2025-01-30T00:00:00,OTP Fraud,6452.66,ACC00118,ACC00303,TXN100129,RTGS,Mumbai,Maharashtra,Escalated,62,MEDIUM
CMP-1130,2025-06-04T19:00:00,SIM Swap Fraud,1532.52,ACC00119,ACC00072,TXN100130,NEFT,Kanpur,Uttar Pradesh,Under Investigation,40,MEDIUM
CMP-1131,2025-04-04T21:00:00,OTP Fraud,6963.35,ACC00428,ACC00063,TXN100131,Wallet,Hyderabad,Telangana,Closed,53,MEDIUM
CMP-1132,2025-03-08T07:00:00,Romance Scam,10529.85,ACC00239,ACC00014,TXN100132,RTGS,Hyderabad,Telangana,Open,80,HIGH
CMP-1133,2025-06-24T19:00:00,Loan App Harassment,2631.92,ACC00467,ACC00094,TXN100133,Wallet,Kanpur,Uttar Pradesh,Open,40,MEDIUM
CMP-1134,2025-04-21T03:00:00,Job Fraud,8544.81,ACC00189,ACC00081,TXN100134,Wallet,Bengaluru,Karnataka,Closed,30,LOW
CMP-1135,2025-05-03T12:00:00,OTP Fraud,2691.25,ACC00144,ACC00012,TXN100135,Card,Jaipur,Rajasthan,Open,23,LOW
CMP-1136,2025-03-01T04:00:00,Loan App Harassment,1142.46,ACC00227,ACC00049,TXN100136,NEFT,Jaipur,Rajasthan,Open,44,MEDIUM
CMP-1137,2025-06-14T01:00:00,SIM Swap Fraud,3046.33,ACC00398,ACC00001,TXN100137,RTGS,Kanpur,Uttar Pradesh,Open,26,LOW
CMP-1138,2025-06-05T16:00:00,Job Fraud,629.53,ACC00131,ACC00059,TXN100138,RTGS,Bengaluru,Karnataka,Open,11,LOW
CMP-1139,2025-07-08T00:00:00,Fake Investment App,15473.28,ACC00453,ACC00037,TXN100139,IMPS,Kanpur,Uttar Pradesh,Under Investigation,68,HIGH
CMP-1140,2025-06-06T08:00:00,SIM Swap Fraud,5919.67,ACC00344,ACC00095,TXN100140,Card,Mumbai,Maharashtra,Closed,38,LOW
CMP-1141,2025-03-10T15:00:00,Fake Investment App,816.76,ACC00487,ACC00085,TXN100141,RTGS,Hyderabad,Telangana,Escalated,53,MEDIUM
CMP-1142,2025-04-06T08:00:00,Credit Card Fraud,1596.1,ACC00369,ACC00090,TXN100142,UPI,Delhi,Delhi,Under Investigation,59,MEDIUM
CMP-1143,2025-08-05T16:00:00,OTP Fraud,6098.42,ACC00380,ACC00203,TXN100143,IMPS,Lucknow,Uttar Pradesh,Under Investigation,27,LOW
CMP-1144,2025-03-12T14:00:00,Credit Card Fraud,1473.19,ACC00366,ACC00087,TXN100144,Card,Jaipur,Rajasthan,Open,43,MEDIUM
CMP-1145,2025-04-29T04:00:00,Online Shopping Fraud,4197.05,ACC00361,ACC00007,TXN100145,Card,Delhi,Delhi,Under Investigation,28,LOW
CMP-1146,2025-04-05T23:00:00,Loan App Harassment,574.65,ACC00388,ACC00059,TXN100146,RTGS,Hyderabad,Telangana,Under Investigation,27,LOW
CMP-1147,2025-05-31T02:00:00,Credit Card Fraud,5549.92,ACC00302,ACC00000,TXN100147,UPI,Lucknow,Uttar Pradesh,Escalated,39,LOW
CMP-1148,2025-07-16T04:00:00,UPI Fraud,887.49,ACC00316,ACC00008,TXN100148,UPI,Lucknow,Uttar Pradesh,Under Investigation,13,LOW
CMP-1149,2025-08-02T00:00:00,Job Fraud,376.48,ACC00116,ACC00023,TXN100149,NEFT,Hyderabad,Telangana,Escalated,29,LOW
CMP-1150,2025-02-01T23:00:00,Online Shopping Fraud,2146.02,ACC00329,ACC00293,TXN100150,IMPS,Patna,Bihar,Under Investigation,44,MEDIUM
CMP-1151,2025-06-24T02:00:00,OTP Fraud,12023.59,ACC00160,ACC00068,TXN100151,RTGS,Jaipur,Rajasthan,Under Investigation,66,HIGH
CMP-1152,2025-08-13T14:00:00,Online Shopping Fraud,1258.93,ACC00101,ACC00038,TXN100152,Card,Bengaluru,Karnataka,Under Investigation,35,LOW
CMP-1153,2025-01-17T02:00:00,Fake Investment App,2321.02,ACC00217,ACC00044,TXN100153,RTGS,Patna,Bihar,Open,20,LOW
CMP-1154,2025-04-10T08:00:00,UPI Fraud,5250.25,ACC00116,ACC00053,TXN100154,IMPS,Delhi,Delhi,Under Investigation,15,LOW
CMP-1155,2025-08-03T06:00:00,UPI Fraud,8053.9,ACC00134,ACC00004,TXN100155,IMPS,Bengaluru,Karnataka,Under Investigation,28,LOW
CMP-1156,2025-05-30T13:00:00,UPI Fraud,5058.04,ACC00305,ACC00069,TXN100156,IMPS,Lucknow,Uttar Pradesh,Open,5,LOW
CMP-1157,2025-04-14T12:00:00,Credit Card Fraud,24928.34,ACC00219,ACC00093,TXN100157,Wallet,Kanpur,Uttar Pradesh,Under Investigation,88,CRITICAL
CMP-1158,2025-05-19T17:00:00,Online Shopping Fraud,3302.63,ACC00221,ACC00018,TXN100158,IMPS,Jaipur,Rajasthan,Closed,29,LOW
CMP-1159,2025-08-01T07:00:00,OTP Fraud,10759.01,ACC00253,ACC00071,TXN100159,RTGS,Patna,Bihar,Closed,76,HIGH
CMP-1160,2025-05-30T11:00:00,Job Fraud,13408.07,ACC00384,ACC00044,TXN100160,Wallet,Patna,Bihar,Closed,55,MEDIUM
CMP-1161,2025-02-06T21:00:00,OTP Fraud,2785.32,ACC00456,ACC00019,TXN100161,Wallet,Jaipur,Rajasthan,Open,46,MEDIUM
CMP-1162,2025-09-05T19:00:00,OTP Fraud,2039.6,ACC00223,ACC00038,TXN100162,Card,Hyderabad,Telangana,Closed,39,LOW
CMP-1163,2025-05-05T12:00:00,OTP Fraud,4364.06,ACC00387,ACC00053,TXN100163,Card,Lucknow,Uttar Pradesh,Under Investigation,34,LOW
CMP-1164,2025-07-21T02:00:00,Romance Scam,10130.15,ACC00230,ACC00082,TXN100164,NEFT,Bengaluru,Karnataka,Open,76,HIGH
CMP-1165,2025-08-16T06:00:00,Job Fraud,5187.25,ACC00374,ACC00024,TXN100165,RTGS,Delhi,Delhi,Open,32,LOW
CMP-1166,2025-04-05T09:00:00,Online Shopping Fraud,1136.43,ACC00137,ACC00097,TXN100166,IMPS,Lucknow,Uttar Pradesh,Under Investigation,38,LOW
CMP-1167,2025-02-25T11:00:00,UPI Fraud,10001.69,ACC00206,ACC00270,TXN100167,IMPS,Hyderabad,Telangana,Open,51,MEDIUM
CMP-1168,2025-03-19T10:00:00,Fake Investment App,2252.87,ACC00479,ACC00096,TXN100168,RTGS,Bengaluru,Karnataka,Under Investigation,45,MEDIUM
CMP-1169,2025-02-16T16:00:00,Loan App Harassment,26194.1,ACC00303,ACC00382,TXN100169,Card,Bengaluru,Karnataka,Open,51,MEDIUM
CMP-1170,2025-03-01T05:00:00,Online Shopping Fraud,2560.32,ACC00373,ACC00039,TXN100170,Card,Hyderabad,Telangana,Open,28,LOW
